protID,gene,Tminus30_T0,T0_T15,T15_T30,T30_T45,T45_T60,T60_T90,T90_T150,T150_T210,T210_T330
O34347,argG,0,0,0,0,0,0,0,0,1
P71021,divIVA,0,0,0,0,0,0,0,0,1
P12046,purC,0,0,0,1,0,0,0,0,0
P39793,ponA,0,-1,0,1,1,0,1,1,1
O34858,argH,0,0,0,0,0,0,0,0,1
A3F3G5,trpB,0,0,0,1,1,1,0,0,1
O07021,lutB,0,0,0,1,0,0,0,0,1
O34577,cysC,0,1,0,0,0,0,1,1,0
O06745,yitJ,0,0,0,0,0,0,1,0,0
P39666,nadC,0,0,0,1,1,0,0,1,0
Q04795,dapG,0,0,0,0,1,0,0,0,0
P28368,yvyD,0,0,0,0,0,1,0,1,0
P18185,carB,0,0,0,0,0,0,0,0,1
P12045,purK,0,0,0,0,1,0,0,0,0
O35006,hisA,0,0,1,0,1,0,0,0,1
P39596,efeM,0,0,0,0,1,1,0,0,0
O31724,ylmB,0,-1,0,1,0,0,0,1,0
A3F3G3,hisC,0,0,0,1,1,1,0,0,1
P05649,dnaN,0,-1,0,0,1,0,1,0,0
O07585,yhdP,0,0,0,0,0,0,0,0,1
P70965,murAA,0,0,0,0,0,1,0,0,1
P12044,purE,0,0,0,1,1,0,0,0,0
P94512,ysaA,0,0,0,0,1,0,0,1,0
A3F3G4,trpA,0,0,0,0,1,0,0,0,0
P50620,nrdE,0,0,0,0,0,1,0,1,1
P20691,aroA,0,0,0,0,1,1,0,1,0
P24136,oppD,0,0,0,1,0,0,0,0,0
O34727,hisF,0,0,0,0,1,1,0,0,0
P25812,mnmG,0,0,0,0,1,0,0,1,1
C0SP94,yhfQ,0,-1,0,0,1,1,0,0,1
P05648,dnaA,0,0,0,0,1,0,0,0,0
O34876,ftsX,0,0,0,0,0,0,0,0,1
P12310,gdh,0,0,0,0,0,0,0,-1,0
O05495,ydhD,0,0,0,-1,0,0,0,0,1
P14016,cotE,0,0,0,0,0,0,0,0,-1
P07788,cotA,0,0,0,1,0,0,-1,-1,0
O07634,ylaJ,0,0,0,0,0,0,0,0,0
P39620,gerQ,0,1,0,0,0,0,0,1,0
