gene,t30,t60,t90,t120,t150
yqjM,1,1,1,1,1
hypO,1,1,1,1,1
cypD,0,1,1,1,1
ycnD,0,1,1,1,1
fer,0,1,1,1,1
ykuP,0,1,1,1,1
yodC,0,1,1,1,1
ydgI,0,1,1,1,1
yqiG,0,0,1,1,1
ydbP,0,0,1,1,1
ypdA,0,0,1,1,1
ytpP,0,0,1,1,1
resD,0,0,0,0,1
ahpC,1,1,1,1,1
ahpF,1,1,1,1,1
sodA,1,1,1,1,1
tpx,0,1,1,1,1
ygaF,0,1,1,1,1
katA,0,0,1,1,1
mhqA,0,0,1,1,1
ohrB,1,1,1,1,1
ytxJ,1,1,1,1,1
yvgN,1,1,1,1,1
yugI,0,1,1,1,1
aldY,0,1,1,1,1
yceD,0,1,1,1,1
yvrE,0,1,1,1,1
ydaG,0,1,1,1,1
yceE,0,1,1,1,1
ykgB,0,1,1,1,1
yocK,0,0,1,1,1
yflT,0,0,1,1,1
opuAA,0,0,1,1,1
opuAC,0,0,1,1,1
dps,1,1,1,1,1
mrgA,1,1,1,1,1
dhbA,0,1,1,1,1
yclQ,0,1,1,1,1
fur,0,0,1,1,1
yfiY,0,0,1,1,1
fhuD,0,0,0,1,1
sufA,0,1,1,1,1
sufB,0,1,1,1,1
sufC,0,1,1,1,1
sufD,0,1,1,1,1
sufS,0,1,1,1,1
sufU,0,1,1,1,1
yutI,0,1,1,1,1
dnaX,0,0,1,1,1
dnaE,0,0,1,1,1
dnaN,0,0,1,1,1
polC,0,0,1,1,1
holA,0,0,1,1,1
dnaA,0,0,1,1,1
dnaB,0,0,1,1,1
dnaC,0,0,1,1,1
dnaI,0,0,1,1,1
gyrA,0,0,1,1,1
gyrB,0,0,1,1,1
parC,0,0,1,1,1
topA,0,0,1,1,1
ligA,0,0,0,1,1
pcrA,0,0,0,1,1
,,,,,
ssbA,0,0,1,1,1
uvrA,0,0,1,1,1
recA,0,0,1,1,1
sbcC,0,0,1,1,1
polA,0,0,1,1,1
hbs,1,1,1,1,1
ftsZ,0,1,1,1,1
ftsA,0,1,1,1,1
minC,0,0,0,1,1
minD,0,0,0,1,1
divIVA,0,0,0,1,1
ezrA,0,0,0,1,1
divIB,0,0,0,1,1
ftsW,0,0,0,1,1
ftsL,0,0,0,1,1
gpsB,0,0,0,1,1
hinT,0,1,1,1,1
yoaH,0,0,1,1,1
mcpA,0,0,1,1,1
mcpC,0,0,1,1,1
tlpA,0,0,1,1,1
csrA,0,0,1,1,1
secA,0,0,0,1,1
secDF,0,0,0,1,1
secE,0,0,0,1,1
secY,0,0,0,1,1
ftsY,0,0,0,1,1
ffH,0,0,0,1,1
copA,0,0,1,1,1
copZ,0,0,1,1,1
zosA,0,0,0,1,1
znuA,0,0,0,1,1
znuC,0,0,0,1,1
yhfK,1,1,1,1,1
yqeY,1,1,1,1,1
yjcG,1,1,1,1,1
ykuJ,1,1,1,1,1
ybfQ,0,1,1,1,1
ytwF,0,1,1,1,1
yfhC,0,1,1,1,1
yphP,0,1,1,1,1
yfkK,0,1,1,1,1
yneT,0,1,1,1,1
yvrD,0,1,1,1,1
yitW,0,1,1,1,1
ymaB,0,0,1,1,1
yetH,0,0,1,1,1
ytsP,0,0,1,1,1
ycsE,0,0,1,1,1
ykaA,0,0,1,1,1
ypjQ,0,0,1,1,1
yutF,0,0,1,1,1
yaaK,0,0,1,1,1
yfhH,0,0,1,1,1
yndB,0,0,1,1,1
ynzC,0,0,1,1,1
ypgR,0,0,1,1,1
yugK,0,0,1,1,1
yjoA,0,0,1,1,1
yqiW,0,0,1,1,1
ylbA,0,0,1,1,1
yerC,0,0,1,1,1
ypmA,0,0,1,1,1
yrrB,0,0,1,1,1
ykwD,0,0,1,1,1
ytoQ,0,0,1,1,1
ytmB,0,0,1,1,1
yaaA,0,0,1,1,1
ykvS,0,0,1,1,1
yccK,0,0,1,1,1
yqhY,0,0,1,1,1
ysmB,0,0,1,1,1
ywdI,0,0,1,1,1
yitL,0,0,1,1,1
yrzB,0,0,1,1,1
ycnE,0,0,1,1,1
ydjO,0,0,1,1,1
yfjT,0,0,1,1,1
yjbL,0,0,1,1,1
ykoJ,0,0,1,1,1
ykzS,0,0,1,1,1
yozC,0,0,1,1,1
ypjD,0,0,1,1,1
yqkB,0,0,1,1,1
yslB,0,0,1,1,1
yuzD,0,0,1,1,1
yurT,0,0,1,1,1
yycC,0,0,1,1,1
yugG,0,0,1,1,1
yloV,0,0,0,1,1
yukE,0,0,0,1,1
ytcI,0,0,0,0,1
cinA,0,0,0,0,1
yktC,0,0,0,0,1
ygxA,0,0,0,0,1
ywhD,0,0,0,0,1
yrrO,0,0,0,0,1
yhcW,0,0,0,0,1
yqfO,0,0,0,0,1
yhcX,0,0,0,0,1
yrrN,0,0,0,0,1
ytiB,0,0,0,0,1
yvlB,0,0,0,0,1
ykpA,0,0,0,0,1
hslO,0,1,1,1,1
rok,0,1,1,1,1
prpC,0,0,1,1,1
xseB,0,0,1,1,1
padC,0,0,1,1,1
moaB,0,0,1,1,1
degU,0,0,0,1,1
xre,0,0,0,1,1
floA,0,0,0,0,1
sat,0,0,0,0,1
prmA,0,0,0,0,1
moeA,0,0,0,0,1
nadF,0,0,0,0,1
