ProtID,Tminus30,T0,T15,T30,T45,T60,T90,T150,T210,T330
P94549,1.16,1.06,0.69,0.58,0.59,0.67,0.84,1.10,1.01,0.44
P26899,1.13,0.70,0.68,0.61,0.80,4.56,2.65,3.30,6.16,32.04
Q795U4,1.11,1.74,0.24,0.21,0.16,0.21,0.26,0.20,0.23,0.58
P94400,1.10,0.01,0.06,0.03,0.05,0.69,0.02,0.01,0.55,0.26
O32053,1.09,0.21,0.14,0.14,0.13,0.17,0.20,0.16,0.27,1.04
P46353,1.06,0.87,0.54,0.52,0.54,0.51,0.70,0.57,0.53,0.87
P40740,0.99,0.58,0.17,0.17,0.20,0.15,0.23,0.21,0.45,0.27
P39153,0.99,1.03,0.29,2.00,0.27,0.21,0.01,0.36,0.73,1.15
O34812,0.97,1.10,0.56,0.49,0.68,1.09,0.85,0.66,0.78,0.94
P37945,0.95,1.02,0.44,0.48,0.47,0.53,0.47,0.46,0.50,1.00
P96614,0.91,1.42,0.57,0.57,0.55,0.63,0.68,0.73,0.77,1.39
A3F3A1,0.90,0.92,0.44,0.36,0.33,0.42,0.47,0.48,0.54,0.25
C0H3V2,0.90,0.07,0.24,,,,,0.19,,
O07609,0.89,0.96,0.89,0.77,0.81,0.89,1.18,0.87,0.85,1.49
P94478,0.84,1.74,0.43,0.44,,0.90,0.56,0.35,0.00,1.38
P45693,0.84,0.87,0.77,0.34,0.56,0.30,0.25,0.72,0.55,0.40
P37570,0.83,0.70,0.89,0.29,0.49,0.54,0.62,0.80,0.54,
P32726,0.81,0.88,0.48,0.48,0.49,0.61,0.79,0.64,0.57,1.15
P14949,0.81,0.74,0.62,0.46,0.42,0.43,0.50,0.31,0.27,0.39
P54531,0.78,0.87,0.47,0.44,0.43,0.53,0.58,0.52,0.57,1.27
O34470,0.78,0.63,0.02,0.20,0.01,0.29,0.29,0.06,0.70,0.29
O31953,0.77,,,,,,,,,
O34969,0.77,0.56,0.24,0.27,0.22,0.27,0.23,0.29,0.38,0.50
O31801,0.76,0.82,0.10,0.08,0.19,0.12,0.45,0.34,0.97,6.85
P32396,0.74,0.82,0.45,0.41,0.39,0.51,0.55,0.52,0.55,1.01
P54155,0.74,0.58,0.35,0.34,0.33,0.21,0.49,0.39,0.33,1.30
P94507,0.74,0.85,,0.32,0.50,0.64,,,0.29,
O31498,0.73,0.42,0.40,0.24,0.38,0.51,0.31,0.50,0.74,1.15
P39779,0.73,0.74,0.57,0.39,0.47,0.56,0.54,0.58,0.63,1.17
Q45497,0.73,,0.26,0.50,0.93,0.39,0.17,0.23,0.15,0.29
O34588,0.68,0.84,0.44,0.39,0.39,0.46,0.54,0.42,0.45,0.99
Q07428,0.67,0.57,0.35,0.42,1.54,2.38,2.32,3.16,2.93,4.25
Q795R8,0.65,0.63,0.44,0.48,0.66,0.66,0.51,0.45,0.81,
P54454,0.64,0.50,0.30,0.29,0.18,0.25,0.31,0.38,0.46,1.15
O32065,0.64,0.33,0.22,0.30,0.23,,0.30,0.36,0.57,0.68
O35011,0.62,,0.54,0.54,0.40,0.38,0.56,0.25,0.35,1.67
P54469,0.62,28.87,28.55,69.57,28.67,32.69,4.00,8.68,0.13,8.12
P46347,0.62,1.09,0.23,0.58,,0.56,0.49,0.32,,
P46354,0.61,0.58,0.43,0.35,0.40,0.41,0.51,0.45,0.43,0.80
P94559,0.61,0.53,,,,,0.31,,,
P20964,0.59,0.60,0.49,0.37,0.36,0.42,0.47,0.54,0.59,1.09
P37571,0.59,0.58,0.35,0.34,0.35,0.39,0.44,0.42,0.46,0.89
P18157,0.59,0.50,0.31,0.25,0.26,0.31,0.38,0.41,0.44,0.78
P39645,0.59,0.44,0.24,0.22,0.31,0.35,0.40,0.41,0.43,0.95
O31605,0.58,0.65,0.41,0.35,0.33,0.34,0.52,0.34,0.36,0.55
P50743,0.58,0.66,0.39,0.37,0.36,0.49,0.52,0.48,0.53,1.10
P46323,0.57,0.34,0.22,0.25,0.14,0.28,0.40,0.31,0.44,1.19
P71013,0.57,,0.51,0.48,,,,0.49,,1.25
P39762,0.57,0.55,0.23,0.23,0.20,0.26,0.34,0.32,0.32,0.81
P36949,0.57,0.59,0.24,0.19,0.20,0.36,0.33,0.38,0.45,0.36
O31657,0.56,0.85,0.79,0.20,,0.19,,,0.14,3.46
P39070,0.56,0.53,0.39,0.11,0.28,0.63,0.43,0.40,0.53,0.72
O31741,0.55,0.38,0.32,0.16,0.08,0.12,,93.47,0.42,1.37
P94521,0.54,0.50,0.45,0.28,0.29,0.32,0.26,0.35,0.36,0.72
Q45493,0.54,0.57,0.33,0.29,0.34,0.39,0.43,0.45,0.49,1.01
O07607,0.54,3.33,0.69,0.56,0.65,0.63,1.35,0.75,,2.31
O31581,0.53,0.59,0.10,0.34,0.35,0.35,0.30,0.46,0.50,0.72
P28628,0.52,0.39,0.31,0.32,0.33,0.46,0.51,0.67,0.45,1.22
P54501,0.52,0.51,0.17,0.16,0.18,0.21,0.47,0.32,0.27,0.81
P13792,0.51,0.12,0.21,0.21,0.23,0.29,0.47,0.35,0.40,
P39646,0.51,0.62,0.37,0.34,0.30,0.38,0.53,0.39,0.39,0.76
P46343,0.51,0.36,0.54,0.30,0.32,0.36,0.39,0.36,0.42,0.93
O07513,0.50,0.61,0.27,0.25,0.25,0.31,0.36,0.34,0.38,0.79
P96579,0.50,0.52,0.00,0.00,0.00,0.39,0.24,0.22,0.61,
O05518,0.50,,0.20,0.26,0.19,0.18,0.20,0.15,0.34,1.02
Q45499,0.49,0.33,0.21,0.23,0.24,0.25,0.25,0.23,0.32,0.25
P28619,0.48,0.50,0.29,0.31,0.52,0.37,0.61,0.42,1.02,1.76
P80879,0.48,0.44,0.22,0.22,0.19,0.24,0.29,0.36,0.49,1.14
O35010,0.48,,,0.27,2.65,,0.30,,,0.32
P32731,0.48,0.65,0.42,0.44,0.31,0.31,0.26,0.25,0.27,0.69
O35020,0.47,,0.14,0.16,0.16,0.22,0.01,0.30,0.36,0.86
O31820,0.47,0.43,0.37,3.29,,,,,0.36,
O31430,0.47,0.47,0.22,0.26,0.24,0.23,0.18,0.18,,
O31441,0.47,,0.32,0.29,0.19,0.41,0.19,1.13,3.61,
O32232,0.46,0.42,0.21,0.21,0.16,0.50,0.10,0.31,0.41,0.98
P70999,0.46,0.41,0.27,0.19,0.22,0.26,0.39,0.37,0.46,1.33
P39594,0.46,0.47,0.70,0.29,0.20,0.35,0.16,0.24,0.18,0.23
Q07876,0.46,0.55,0.30,0.28,0.33,0.32,0.37,0.36,0.25,0.67
P24141,0.45,0.46,0.30,0.29,0.40,0.55,0.68,0.76,0.92,1.62
O34599,0.45,0.64,0.24,0.25,0.24,0.39,0.47,0.54,0.44,1.82
P42962,0.45,0.47,0.26,0.31,0.27,0.28,0.43,0.34,0.38,1.86
P80244,0.45,0.49,0.30,0.30,0.30,0.38,0.39,0.38,0.38,0.81
O34996,0.44,0.51,0.26,0.27,0.28,0.40,0.40,0.40,0.51,0.26
P54457,0.44,0.46,0.17,0.28,0.34,0.38,0.34,0.39,0.41,0.87
P51777,0.43,0.46,0.26,0.23,0.20,0.18,0.21,0.11,0.11,0.37
P19466,0.43,0.31,0.19,0.20,0.25,0.24,0.22,0.29,0.32,0.84
P39914,0.42,1.24,0.59,0.56,1.61,0.31,0.26,0.41,0.41,0.35
P50727,0.42,0.38,0.20,0.22,0.10,0.25,1.80,1.12,,6.32
P31847,0.42,0.39,0.35,0.25,0.07,0.31,0.22,0.32,0.15,1.52
Q45495,0.42,0.45,0.20,0.20,0.21,0.23,0.33,0.27,0.30,0.73
P54520,0.42,0.26,0.12,,0.26,0.24,0.89,,0.39,0.91
O32045,0.41,,0.27,0.12,,,0.31,,,
P54485,0.41,,0.34,0.48,,,,0.51,0.67,
O34508,0.41,,0.64,,,0.66,1.86,,,
O32054,0.41,0.38,0.14,0.16,0.11,0.20,0.35,0.34,0.45,1.10
P55339,0.41,0.44,0.28,0.23,0.24,0.27,0.31,0.34,0.37,0.67
Q7BV94,0.41,0.33,0.16,0.18,0.13,0.21,0.21,0.19,,0.22
P54453,0.41,0.75,0.25,0.26,0.25,0.30,0.33,0.35,0.49,1.10
O32161,0.40,0.86,0.23,0.39,0.34,0.25,0.44,0.44,0.42,0.86
O31796,0.39,0.36,0.25,0.25,0.30,0.25,0.30,0.33,0.31,0.63
