Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
H,AbrB+,yobB,BSU18820,0,0.6,3.5,2.3,2.3,2.1,1.3,1.3,0.8,-1.6,-1.6,-1.7
H,AbrB+,yocD,BSU19170,0,1.2,1.2,0.4,0,-0.1,-0.4,-0.1,-0.2,0.6,0.7,0.9
H,AbrB+,yokI,BSU21580,0,0.5,0.9,-0.1,-0.3,-1.1,-1.9,-1.8,-2.5,-0.4,-0.2,-0.2
H,AbrB+,yokJ,BSU21570,0,0.6,0.8,-0.2,-0.6,-1.3,-2.8,-1.6,-2.2,-0.7,-0.6,-0.5
H,AbrB+,yokK,BSU21560,0,0.2,0.5,-0.3,-0.8,-1.6,-2.9,-1.7,-2.3,-0.9,-0.7,-0.7
H,AbrB+,yokL,BSU21550,0,0.1,0.3,-0.6,-1,-1.8,-2.7,-1.2,-1.2,-0.7,-0.8,-0.9
H,AbrB+,yolA,BSU21540,0,-0.9,-1.5,-3.6,-3.6,-4.6,-4.2,-4.5,-3.9,-6.5,-5.4,-6.3
H,AbrB+,yolB,BSU21530,0,-0.9,-1.4,-3.5,-3.5,-4.4,-3.8,-4.1,-3.4,-6.5,-5.5,-6.4
H,AbrB+,yolC,BSU21520,0,0.8,2.2,0.8,0.8,0.4,0.4,0.3,0.4,-2.7,-2.5,-2.9
H,AbrB+,yomJ,BSU21340,0,0.1,0.1,-0.4,-0.3,-0.6,-0.7,-0.4,-0.8,-1.8,-1.9,-2
H,AbrB+,yoqM,BSU20580,0,-1.9,2.3,0.3,-0.6,-0.7,-0.5,-0.2,0.1,-3.9,-4.2,-4.2
H,AbrB+,yorD,BSU20420,0,0.3,-0.4,-1.9,-1.9,-3.1,-3.7,-2.8,-2.9,-3.6,-2.9,-2.8
H,AbrB+,yphE,BSU22820,0,1.2,1.4,1,0.8,0.4,-1.1,0.2,-2,0.4,0.4,0.2
H,AbrB+,yphF,BSU22810,0,1.7,1.6,1.4,1.1,1.1,-0.4,0.5,-1,0.3,0.2,0.3
H,AbrB+,yqaP,BSU26230,0,0.2,0,-1.3,-1.8,-3,-3.4,-2.8,-3.1,-1.7,-1.2,-1.7
H,AbrB+,yqzG,BSU24650,0,-0.2,0.4,5.5,6.2,6,5.7,5.7,5.8,-0.2,-0.5,-0.2
H,AbrB+,yrpD,BSU26820,0,-1.3,0,-1.1,-1.6,-2.3,-3.7,-2.9,-4.8,-4.9,-3.6,-4.9
H,AbrB+,yrzI,BSU27190,0,-0.6,-0.3,0,0,0.9,2.2,3.2,2.9,-2.8,-1.9,-2.9
H,AbrB+,yscB,BSU28890,0,-0.7,-0.9,-3,-3,-3.4,-2,-3,-1.4,-4.1,-3.8,-3.8
H,AbrB+,yuaB,BSU31080,0,-2.8,-0.9,-1.6,-1.9,-2.8,-4.5,-4.9,-6.1,-3.9,-3,-3.7
H,AbrB+,yurI,BSU32540,0,0.9,2,1.7,1.5,1.5,1.8,0.3,-0.3,-1.2,-0.6,-0.8
H,AbrB+,yvcA,BSU34850,0,0.5,1.8,0.7,0.3,0.1,-1.4,-0.9,-1.3,0.3,0.6,0.5
H,AbrB+,yvcB,BSU34840,0,-0.8,0.6,-0.4,-0.6,-1,-2.1,-1.7,-2.6,-0.7,-0.6,-0.7
H,AbrB+,yvgO,BSU33410,0,-1.4,0,-0.7,-0.8,-0.8,0,-1.2,-1,-1.9,-1.7,-1.7
H,AbrB+,yvmC,BSU35070,0,-2.7,-1.9,-3.1,-3.6,-4,-4.1,-4,-3.8,-2.4,-2.1,-2.3
H,AbrB+,yvnA,BSU35050,0,0.9,1.7,1.3,1.8,1.7,1.3,1.6,1.4,-1.5,-1,-1.2
H,AbrB+,yvqJ,BSU33140,0,1,2.1,1.3,1.1,1.1,0.3,-0.6,-1.8,-2.4,-1.9,-2.1
H,AbrB+,yvrN,BSU33260,0,-0.5,-0.7,-1.9,-2.2,-2.9,-3.6,-4.3,-5,-2,-1.9,-2.3
H,AbrB+,yvrO,BSU33270,0,0,-0.1,-1.3,-1.8,-2.3,-3.4,-3.9,-4.4,-1.9,-1.6,-2.2
H,AbrB+,yvrP,BSU33280,0,0.2,-0.1,-1.2,-1.7,-2.1,-3.7,-3.8,-4.4,-2.1,-1.4,-2
H,AbrB+,yvzA,BSU34830,0,-1.3,0,-0.9,-1,-1.5,-2.2,-2.1,-2.5,-1.2,-1.3,-1.3
H,AbrB+,ywbF,BSU38340,0,0.1,0,-0.4,-0.4,-0.2,-1.1,-1.7,-2.4,-0.8,-0.4,-0.7
H,AbrB+,ywcE,BSU38130,0,1.9,-0.6,2.4,3.2,2.6,3,2.5,3,-2.3,-1.9,-2
H,AbrB+,yweA,BSU37800,0,0.5,-0.8,-1.8,-2.6,-3.2,-3,-2.9,-3.3,-4.4,-3.6,-4.4
H,AbrB+,ywoF,BSU36460,0,0,1.6,0,-0.3,-0.2,-0.5,-0.8,-1.1,-1.2,-1,-1.3
H,AbrB+,yxaA,BSU40040,0,0.1,0.3,-0.9,-1.2,-1.4,-1.7,-1.8,-1.8,-0.1,0.5,0
H,AbrB+,yxaB,BSU40030,0,-0.3,-0.2,-0.9,-1.1,-0.8,0,-0.7,-0.9,-0.4,-0.2,-0.4
H,AbrB+,yxaJ,BSU39950,0,-1.1,-1.4,-2.8,-3.4,-3.6,-3.9,-3.7,-3.8,-2.7,-1.6,-2.1
H,AbrB+,yxaL,BSU39940,0,-2.5,-0.3,-3.3,-4.1,-4.8,-4.7,-5,-5.3,-4.1,-3.3,-4.1
H,AbrB+,yxaM,BSU39930,0,6,5.7,5.1,4.7,3.6,2,2.3,1.2,0.7,0.6,0.6
H,AbrB+,yxbA,BSU39900,0,6.4,6.2,6.1,5.6,4.7,3.6,4,3.4,-1.5,-1.4,-1.5
H,AbrB+,yxbB,BSU39890,0,5.8,5.9,5.7,5.3,4.4,3.3,3.8,3.2,-2.1,-2.2,-2.2
H,AbrB+,yxeD,BSU39590,0,0.1,0,1.7,5,7.2,6.9,6.8,7.1,-0.1,0,0.1
H,AbrB+,yxnB,BSU39910,0,6.4,6.2,6,5.6,4.7,3.6,3.8,3.2,-0.4,-0.4,-0.3
H,AbrB+,yxzE,BSU38790,0,-1.5,-2.1,-3,-2.8,-2.9,-1.3,-3.3,-1.4,-0.9,-1.1,-1.2
H,AbrB+,yydF,BSU40180,0,2.3,2.6,1.9,2.1,0.8,0.1,0.9,0.8,-4.3,-4.5,-4.4
H,AbrB+,yydG,BSU40170,0,2.9,2.3,0.3,0.1,-1.1,-3.3,-2,-1.1,-1.8,-1.8,-1.9
H,AbrB+,yydH,BSU40160,0,2.2,1.7,0.4,0,-1.1,-1.4,-1.6,-1.1,-1.3,-1.2,-1.2
H,AbrB+,yydI,BSU40150,0,1.8,1.2,0.2,-0.2,-1.1,-1.7,-1.5,-1.5,-1.4,-1.3,-1.4
H,AbrB+,yydJ,BSU40140,0,1.9,1.5,0.1,-0.4,-1.2,-1.8,-1.5,-1.3,-1,-0.9,-1.2
I,AbrB-,amyE,BSU03040,0,1.1,1.4,0.5,0.5,0,-0.1,0,-0.9,0.4,0.6,0.2
I,AbrB-,glpD,BSU09300,0,-3.2,-1.8,-2,-2.5,-1.9,-0.2,-1.7,-1.1,0.9,3.4,-0.1
I,AbrB-,glpF,BSU09280,0,-1.2,-1,-0.2,-0.1,-0.2,0.7,0.1,0.8,-0.3,2,-1.1
I,AbrB-,glpK,BSU09290,0,-1.7,-1.4,-0.7,-0.4,-0.5,0.3,-0.1,0.5,-0.5,1.6,-1.4
I,AbrB-,gmuA,BSU05820,0,-3.2,-3.9,-3.9,-4.1,-3.9,-3.3,-4.2,-4.1,-1.7,-0.3,-1.7
I,AbrB-,gmuB,BSU05810,0,-3.4,-4.2,-4.2,-4.5,-4.1,-3.4,-4.4,-4,-2.2,-0.5,-1.9
I,AbrB-,gmuC,BSU05830,0,-2.4,-3.1,-2.9,-3.1,-2.9,-2.5,-3.6,-3.7,-0.9,0.4,-1.1
I,AbrB-,gmuD,BSU05840,0,-1.3,-1.9,-1.5,-1.7,-1.4,-0.6,-1.9,-1.9,0.2,1.5,0
I,AbrB-,gmuE,BSU05860,0,0.3,0,0.2,-0.2,0.1,0.5,-0.9,-1.1,0.8,2.1,0.6
I,AbrB-,gmuF,BSU05870,0,0.3,0,0.2,-0.1,0.2,0.6,-0.6,-0.5,0.8,2.2,0.6
I,AbrB-,gmuG,BSU05880,0,0.4,0.3,0.7,0.7,0.7,1.3,0.7,0.8,0.8,2.2,0.7
I,AbrB-,gmuR,BSU05850,0,0,-0.3,-0.1,-0.4,-0.1,0.3,-0.7,-0.7,0.9,1.8,0.8
