Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
B,SigF+,mutTA ,BSU30630,0,-0.7,-1.4,-1.2,-1.3,-1,-1.3,-0.9,-0.2,-0.4,-0.4,-0.2
B,SigF+,pbpG,BSU37510,0,-0.3,0.6,4.6,4.5,3.9,4.4,4.3,4.3,-0.1,0.1,0.2
B,SigF+,pbpI ,BSU27310,0,0,1,4.7,4.1,3.5,3,2.8,2.1,1.5,1.3,1.5
B,SigF+,seaA ,BSU22850,0,0.4,-0.1,3.7,4.2,4.4,4,4.4,4.2,1.3,1.2,1.4
B,SigF+,spoIIQ,BSU36550,0,-1.5,2.5,6.4,6.4,6.2,5.9,6.3,5.8,0,-0.4,0
B,SigF+,spoVT,BSU00560,0,-0.5,-1.4,0.9,2.1,2.7,2.4,2.5,2.5,1.1,0.6,0.9
B,SigF+,sspN,BSU18020,0,-0.9,-0.2,4.9,5.9,7.4,7.4,7.4,7.4,0.2,-1,-0.6
B,SigF+,subA,BSU00540,0,-0.4,-0.9,1.6,1.9,2.2,1.8,2,1.8,0.6,0.5,0.6
B,SigF+,tlp,BSU18030,0,-0.6,-0.1,5,5.8,7.7,7.7,7.7,7.8,0.5,-0.7,-0.5
B,SigF+,tuaF,BSU35560,0,-0.3,0.1,3.3,3.1,2.6,2.5,2.8,2.6,0.7,0.7,0.9
B,SigF+,tuaG,BSU35550,0,-0.2,0.1,3.1,2.6,2.4,2.4,2.5,1.8,0.7,0.8,0.8
B,SigF+,tuaH,BSU35540,0,-0.2,0.2,3,2.5,2.1,2.5,2.8,2.5,0.9,0.8,1
B,SigF+,yabT,BSU00660,0,-0.4,3.4,5.3,4.8,4.1,3.8,4,3.1,2.2,1.8,2.1
B,SigF+,yckD,BSU03400,0,0,0,3.7,6.4,6.2,5.9,6.2,6.3,0.1,0.1,0.4
B,SigF+,yetF,BSU07140,0,-0.8,-0.5,3.6,4,3.4,3.5,3.3,3.1,0,0.1,0.3
B,SigF+,yfhD,BSU08490,0,-0.8,0,4.4,5.3,6.6,6.3,6.2,6.5,0.5,-0.2,-0.1
B,SigF+,yfhE,BSU08500,0,-0.7,0,4.5,5.3,4.8,4.3,4.7,4.7,0,-0.1,0.1
B,SigF+,yfkO,BSU07830,0,-1.5,-1.1,0.6,0.8,0.8,0.8,0.9,0.9,2.1,2.3,1.9
B,SigF+,yhbA,BSU08910,0,-0.3,-0.9,0.6,0.3,0.7,1.7,1.1,0.9,2.9,2.6,3
B,SigF+,yhcM,BSU09140,0,-0.9,-0.6,3.4,4.7,5.8,6.1,6,6.6,-0.9,-0.8,-0.4
B,SigF+,yhcN,BSU09150,0,-0.2,-0.8,3.1,6.3,7.4,7.1,7.1,7.2,-0.6,-0.7,-0.3
B,SigF+,yhfM,BSU10280,0,0.1,0.3,5.7,6.5,6.6,6.2,6.3,6.5,0.4,0.6,0.8
B,SigF+,yhfW,BSU10390,0,0.5,0.7,4.7,5.1,4.6,4.7,4.5,4.2,-0.2,-0.2,-0.2
