BSU22180,ypsB,gpsB,755,
BSU23329,ypuC,NA,NA,
BSU22869,ypzI,NA,NA,
BSU23240,ypzK,ribT,112,
BSU25950,yqcC,NA,NA,
BSU26050,yqdB,txpA,7.78,
BSU25740,yqeB,NA,NA,
BSU25620,yqeL,rsfS,487,
BSU25330,yqfF,pgpH,84.8,
BSU25320,yqfG,ybeY,109,
BSU25010,yqgE,BSU25010,3.42,
BSU24800,yqgW,NA,NA,
BSU24440,yqhV,yqgE,NA,
BSU24120,yqiQ,prpB,12.9,
BSU23860,yqjI,gnda,1163,
BSU23820,yqjM,namA,80.6,
BSU23600,yqxK,yqkH,NA,
BSU24740,yqxL,corA,3.37,
BSU24660,yqzE,NA,NA,
BSU23880,yqzJ,mifM,2.18,
BSU23519,yqzK,NA,NA,
BSU25289,yqzL,NA,NA,
BSU25569,yqzM,NA,NA,
BSU26259,yqzO,NA,NA,
BSU27000,yraB,adhR,3.91,
BSU26750,yrdD,NA,NA,
BSU26640,yrdP,"	
trkA,czcO",8.98,
BSU26630,yrdQ,czcR,16.6,
BSU27260,yrhA,mccA,7.79,
BSU26400,yrkS,NA,NA,
BSU27390,yrrK,yqgf,175,
BSU27540,yrvM,tcdA,118,
BSU27785,yrzF,NA,NA,
BSU27800,yrzH,NA,NA,
BSU27570,yrzK,NA,NA,
BSU27570,yrzK,NA,NA,
BSU26558,yrzM,NA,NA,
BSU26559,yrzN,NA,NA,
BSU27469,yrzR,NA,NA,
BSU27729,yrzS,NA,NA,
BSU28610,yshA,zapA,16.1,
BSU28320,ysnD,NA,NA,
BSU28099,yszA,NA,NA,
BSU30920,ytaA,cotI,5.27,
BSU30930,ytaB,NA,NA,
BSU29070,ytaF,NA,NA,
BSU30880,ytcC,NA,12.1,
BSU30080,yteV,cse60,NA,
BSU30640,ytkC,NA,NA,
BSU29310,ytnJ,moxC,3.86,
BSU29805,ytpS,"ytpT,sftA",NA,
BSU29239,ytrH,NA,NA,
BSU29640,ytsP,NA,NA,41.6 in B. anthracis
BSU30340,ytvA,pfyP,29.6,
BSU29430,ytzD,NA,NA,
BSU30035,ytzG,ytzF,NA,
BSU29249,ytzJ,NA,NA,
BSU29679,ytzK,NA,NA,
BSU30739,ytzL,NA,NA,
BSU31070,yuaC,gbsR,61.8,
BSU31140,yubC,cdoA,2.47,
BSU31790,yueG,NA,NA,
BSU31530,yufM,malR,91.4,
BSU32050,yuiE,pepA,153,
BSU31875,yukB,"yukA,yukBA,essC",NA,in S. aureus 19.1
BSU31920,yukF,adeR,5.91,
BSU31200,yulC,rhaB,2.56,
BSU31190,yulD,rhaM,8.18,
BSU31180,yulE,rhaA,5.84,
BSU32540,yurI,ytcC,12.1,
BSU32760,yusD,NA,NA,
BSU32800,yusH,gcvH,1014,
BSU32900,yusR,NA,NA,
BSU32960,yusY,NA,NA,
BSU32160,yutM,sufA,126,
BSU31279,yuzH,NA,NA,
BSU31319,yuzI,NA,NA,
BSU32469,yuzJ,NA,NA,
BSU32719,yuzK,NA,NA,
BSU32849,yuzL,NA,NA,
BSU32859,yuzM,NA,NA,
BSU33029,yuzO,NA,NA,
BSU33530,yvaA,iolW,239,
BSU33540,yvaB,azoR2,459,
BSU33620,yvaK,est,118,
BSU33840,yvbF,opcR,15.2,
BSU34030,yvbY,lutC,611,
BSU34620,yvdF,bbmA,7.62,
BSU34570,yvdK,mdxK,3.64,
BSU34530,yvdO,cotR,2.38,
BSU34490,yvdS,NA,NA,
BSU34420,yveF,NA,NA,
BSU34190,yvfH,lutP,301,
BSU34180,yvfI,lutR,2.77,
BSU34050,yvfV,lutA,316,
BSU34040,yvfW,lutB,378,
BSU35480,yviA,degV,71,
BSU33160,yvrA,BSU33160,4.96,
BSU33170,yvrB,yvcB,19.8,
BSU33239,yvrJ,NA,NA,
BSU35699,yvzE,NA,NA,
BSU35319,yvzG,NA,NA,
BSU35679,yvzH,NA,NA,
BSU35698,yvzI,NA,NA,
BSU38130,ywcE,ipa-41r,NA,
BSU38010,ywdC,NA,NA,
BSU37930,ywdK,NA,NA,7.15 in B. anthracis
BSU37920,ywdL,gerQ,46.4,
BSU37200,ywjD,uvsE,3.45,
BSU37190,ywjE,clsB,2.44,
BSU37110,ywjH,tal,2280,
BSU37090,ywjI,glpX,193,
BSU36980,ywlA,NA,NA,
BSU36940,ywlD,mntP,NA,
BSU36720,ywmE,BSU36720,0.73,
BSU36170,ywqL,nfi,8.75,
BSU38180,ywzA,NA,NA,
BSU36780,ywzB,NA,NA,
BSU36668,ywzE,NA,NA,
BSU36669,ywzF,NA,NA,
BSU38018,ywzG,NA,NA,
BSU40040,yxaA,glxK,6.08,
BSU40022,yxaC,NA,NA,
BSU39890,yxbB,yxaP,46,
BSU39850,yxbF,"yxaT,E3A",2.89,
BSU39840,yxbG,yxaU,7.01,
BSU39830,yxcA,NA,NA,
BSU39790,yxcE,NA,NA,
BSU39530,yxeJ,NA,NA,
BSU39020,yxjA,nupG,103,
BSU38930,yxjJ,NA,NA,
BSU38720,yxkO,nnrD,8.47,
BSU38790,yxzE,NA,NA,
BSU39129,yxzI,NA,NA,
BSU39139,yxzJ,NA,NA,
BSU40021,yxzK,NA,NA,
BSU39339,yxzL,NA,NA,
BSU40920,yyaF,ychF,392,
BSU40730,yyaS,NA,NA,
BSU40510,yybT,gdpP,29.7,
BSU40260,yycQ,NA,NA,
BSU40259,yyzG,NA,NA,
BSU40529,yyzH,NA,NA,
BSU40573,yyzI,NA,NA,
BSU40574,yyzJ,NA,NA,
BSU40578,yyzK,NA,NA,
BSU40579,yyzL,NA,NA,
BSU40139,yyzN,NA,NA,
BSU40359,yyzO,NA,NA,
