geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
rpe,BSU15790,,yloR,,,
thiN,BSU15800,,yloS,,,
spoVM,BSU15810,,,,,
rpmB,BSU15820,,yloT,,,
yloU,BSU15830,,,,,
yloV,BSU15840,,,,,
sdaAB,BSU15850,,yloW,,,
sdaAA,BSU15860,,ylpA,,,
recG,BSU15870,,ylpB,,,
fapR,BSU15880,,ylpC,,,
plsX,BSU15890,,ylpD,,,
fabD,BSU15900,,ylpE,,,
fabG,BSU15910,,ylpF,,,
acpA,BSU15920,,acpP,,,
rnc,BSU15930,,rncS,,,
smc,BSU15940,,ylqA,,,
ftsY,BSU15950,,srb,,,
ylqB,BSU15960,,,,,
ylxM,BSU15970,,,,,
ffh,BSU15980,,,,,
rpsP,BSU15990,,,,,
ylqC,BSU16000,,,,,
ylqD,BSU16010,,,,,
rimM,BSU16020,,ylqE,,,
trmD,BSU16030,,,,,
rplS,BSU16040,,,,,
rbgA,BSU16050,,ylqF,,,
rnhB,BSU16060,,rnh,,,
ylqG,BSU16070,,,,,
ylqH,BSU16080,,,,,
sucC,BSU16090,,,,,
sucD,BSU16100,,,,,
dprA,BSU16110,,smf,,,
topA,BSU16120,,topI,,,
trmFO,BSU16130,,gid,ylyC,,
xerC,BSU16140,,codV,,,
clpQ,BSU16150,,codW,hslV,,
clpY,BSU16160,,codX,hslU,,
codY,BSU16170,,,,,
flgB,BSU16180,,,,,
flgC,BSU16190,,,,,
fliE,BSU16200,,,,,
fliF,BSU16210,,,,,
fliG,BSU16220,,,,,
fliH,BSU16230,,,,,
fliI,BSU16240,,,,,
fliJ,BSU16250,,cheF,,,
ylxF,BSU16260,,,,,
fliK,BSU16270,,,,,
ylxG,BSU16280,,,,,
flgG,BSU16290,,flgE,,,
swrD,BSU16299,,ylzI,,,
fliL,BSU16300,,,,,
fliM,BSU16310,,,,,
fliY,BSU16320,,cheD,,,
cheY,BSU16330,,cheB,,,
fliZ,BSU16340,,cheA,,,
fliP,BSU16350,,cheC,,,
fliQ,BSU16360,,,,,
fliR,BSU16370,,,,,
flhB,BSU16380,,,,,
flhA,BSU16390,,,,,
flhF,BSU16400,,,,,
ylxH,BSU16410,,,,,
cheB,BSU16420,,cheL,,,
cheA,BSU16430,,cheN,,,
cheW,BSU16440,,,,,
cheC,BSU16450,,ylxJ,,,
cheD,BSU16460,,ylxK,,,
sigD,BSU16470,,flaB,,,
swrB,BSU16480,,,,,
rpsB,BSU16490,,,,,
tsf,BSU16500,,,,,
pyrH,BSU16510,,smbA,,,
frr,BSU16520,,,,,
uppS,BSU16530,,yluA,,,
cdsA,BSU16540,,,,,
dxr,BSU16550,,yluB,,,
rasP,BSU16560,,yluC,,,
proS,BSU16570,,,,,
polC,BSU16580,,dnaF,mutI,,
rimP,BSU16590,,ylxS,ymxA,,
nusA,BSU16600,,,,,
ylxR,BSU16610,,ymxB,,,
rplGA,BSU16620,,ylxQ,ymxC,,
infB,BSU16630,,,,,
ylxP,BSU16640,,ymxD,,,
rbfA,BSU16650,,ylxO,ymxE,,
truB,BSU16660,,ylxN,ymxF,,
ribC,BSU16670,,,,,
rpsO,BSU16680,,,,,
pnp,BSU16690,,comR,pnpA,,
ylxY,BSU16700,,ymxI,,,
ymxG,BSU16710,,,,,
ymxH,BSU16720,,,,,
dpaA,BSU16730,,spoVFA,,,
dpaB,BSU16740,,spoVFB,,,
asd,BSU16750,,,,,
dapG,BSU16760,,lssD,,,
dapA,BSU16770,,,,,
rnjB,BSU16780,,ymfA,,,
tepA,BSU16790,,ylxI,ymfB,,
ylzJ,BSU16799,,,,,
spoIIIE,BSU16800,,ftsK,,,
ymfC,BSU16810,,,,,
ymfD,BSU16825,,ymfE,,,
ymfF,BSU16840,,,,,
ymfH,BSU16860,,,,,
ymfI,BSU16870,,,,,
ymfJ,BSU16880,,,,,
ymfK,BSU16890,BSU16900,,,,
ymfM,BSU16910,,,,,
pgsA,BSU16920,,ymfN,,,
cinA,BSU16930,,ymfO,yzlB,,
recA,BSU16940,,recE,,,
pbpX,BSU16950,,,,,
rny,BSU16960,,ymdA,,,
ymdB,BSU16970,,,,,
spoVS,BSU16980,,,,,
tdh,BSU16990,,,,,
kbl,BSU17000,,,,,
miaB,BSU17010,,ymcB,,,
ymcA,BSU17020,,,,,
cotE,BSU17030,,,,,
mutS,BSU17040,,,,,
mutL,BSU17050,,,,,
ymzD,BSU17060,,,,,
ymcC,BSU17070,,,,,
pksA,BSU17080,,,,,
pksB,BSU17090,,,,,
pksC,BSU17100,,,,,
pksD,BSU17110,,,,,
pksE,BSU17120,,,,,
acpK,BSU17130,,,,,
pksF,BSU17140,,,,,
pksG,BSU17150,,,,,
pksH,BSU17160,,,,,
pksI,BSU17170,,,,,
pksJ,BSU17180,,pksK,,,
pksL,BSU17190,,outG,pksA,pksX,
pksM,BSU17200,,pksY,,,
pksN,BSU17210,,,,,
pksR,BSU17220,,,,,
pksS,BSU17230,,,,,
ymzB,BSU17240,,,,,
ymaE,BSU17250,,,,,
aprX,BSU17260,,,,,
ymaC,BSU17270,,,,,
ymaD,BSU17280,,,,,
ebrB,BSU17290,,,,,
ebrA,BSU17300,,,,,
ymaG,BSU17310,,,,,
ymaF,BSU17320,,,,,
miaA,BSU17330,,,,,
hfq,BSU17340,,ymaH,,,
ymzC,BSU17350,,,,,
ymzA,BSU17360,,,,,
nrdI,BSU17370,,ymaA,,,
nrdE,BSU17380,,nrdA,,,
nrdF,BSU17390,,,,,
ymaB,BSU17400,,,,,
cwlC,BSU17410,,,,,
spoVK,BSU17420,,spoVJ,,,
hflX,BSU17430,,ynbA,,,
ynbB,BSU17440,,,,,
glnR,BSU17450,,,,,
glnA,BSU17460,,,,,
ynxB,BSU17470,,ynaA,,,
ynzF,BSU17480,,,,,
ynzG,BSU17490,,,,,
ynaB,BSU17500,,,,,
ynaC,BSU17510,,,,,
ynaD,BSU17520,,,,,
ynaE,BSU17530,,,,,
ynaF,BSU17540,,,,,
ynaG,BSU17550,,,,,
ynzI,BSU17559,,,,,
ynaI,BSU17560,,,,,
ynaJ,BSU17570,,,,,
xynB,BSU17580,,,,,
xylR,BSU17590,,,,,
xylA,BSU17600,,,,,
xylB,BSU17610,,yncA,,,
yncB,BSU17620,,,,,
yncC,BSU17630,,,,,
alr2,BSU17640,,yncD,,,
yncE,BSU17650,,,,,
yncF,BSU17660,,,,,
ynzH,BSU17670,,,,,
thyA1,BSU17680,,,,,
yncM,BSU17690,,,,,
ynzK,BSU17699,,,,,
cotC,BSU17700,,,,,
tatAc,BSU17710,,ynzA,,,
yndA,BSU17720,,,,,
yndB,BSU17730,,,,,
ynzB,BSU17740,,,,,
yndD,BSU17750,,,,,
yndE,BSU17760,,,,,
yndF,BSU17770,,,,,
yndG,BSU17780,,,,,
yndH,BSU17790,,,,,
yndJ,BSU17800,,,,,
yndK,BSU17810,,,,,
yndL,BSU17820,,,,,
yndM,BSU17830,,,,,
fosB,BSU17840,,yndN,,,
lexA,BSU17850,,dinR,,,
yneA,BSU17860,,,,,
yneB,BSU17870,,,,,
ynzC,BSU17880,,,,,
tkt,BSU17890,,tktA,,,
sirA,BSU17900,,yneE,yoxF,,
yneF,BSU17910,,yoxG,,,
ynzD,BSU17920,,,,,
ccdA,BSU17930,,,,,
ccdB,BSU17940,,yneI,yoxH,,
ccdC,BSU17950,,yneJ,yoxI,,
yneK,BSU17960,,yoxJ,,,
cotM,BSU17970,,yneL,,,
sspP,BSU17980,,cotL,,,
sspO,BSU17990,,cotK,,,
citB,BSU18000,,,,,
yneN,BSU18010,,,,,
ynzL,BSU18019,,,,,
sspN,BSU18020,,,,,
tlp,BSU18030,,tlpA,,,
yneP,BSU18040,,,,,
yneQ,BSU18050,,,,,
yneR,BSU18060,,,,,
plsY,BSU18070,,yneS,,,
yneT,BSU18080,,,,,
parE,BSU18090,,grlB,,,
parC,BSU18100,,grlA,,,
ynfC,BSU18110,,,,,
alsT,BSU18120,,,,,
eglS,BSU18130,,bglC,gld,,
ynfE,BSU18140,,,,,
xynC,BSU18150,,ynfF,,,
xynD,BSU18160,,,,,
yngA,BSU18170,,,,,
yngB,BSU18180,,,,,
yngC,BSU18190,,,,,
nrnB,BSU18200,,yngD,,,
yngE,BSU18210,,,,,
yngF,BSU18220,,,,,
yngG,BSU18230,,,,,
yngHB,BSU18239,,,,,
accC2,BSU18240,,accC,yngH,,
yngI,BSU18250,,,,,
yngJ,BSU18260,,,,,
ynzE,BSU18270,,,,,
yngK,BSU18280,,yotA,,,
yngL,BSU18290,,,,,
ppsE,BSU18300,,pps5,,,
ppsD,BSU18310,,pps4,,,
ppsC,BSU18320,,pps3,,,
ppsB,BSU18330,,pps2,,,
ppsA,BSU18340,,pps1,,,
dacC,BSU18350,,pbp,,,
galM,BSU18360,,yoxA,,,
yoeA,BSU18370,,,,,
yoeB,BSU18380,,,,,
yoeC,BSU18390,,,,,
yoeD,BSU18400,,,,,
ggt,BSU18410,,,,,
yofA,BSU18420,,,,,
yogA,BSU18430,,,,,
gltB,BSU18440,,,,,
gltA,BSU18450,,,,,
gltC,BSU18460,,,,,
proJ,BSU18470,,yohA,,,
proH,BSU18480,,proC,yoxE,,
rtp,BSU18490,,,,,
yoxD,BSU18500,,,,,
yoxC,BSU18510,,,,,
yoxB,BSU18520,,,,,
yoaA,BSU18530,,,,,
yoaB,BSU18540,,,,,
yoaC,BSU18550,,,,,
yoaD,BSU18560,,,,,
yoaE,BSU18570,,,,,
yoaF,BSU18580,,,,,
yoaG,BSU18590,,,,,
yozQ,BSU18600,,,,,
yoaH,BSU18610,,,,,
yoaI,BSU18620,,,,,
yoaJ,BSU18630,,,,,
yoaK,BSU18640,,,,,
pelB,BSU18650,,,,,
yoaM,BSU18660,,,,,
yozS,BSU18669,,,,,
oxdD,BSU18670,,yoaN,,,
yoaO,BSU18680,,,,,
yoaP,BSU18690,,,,,
yoaQ,BSU18700,,,,,
yozT,BSU18709,,,,,
yozF,BSU18710,,,,,
yoaR,BSU18720,,,,,
yoaS,BSU18730,,,,,
yozG,BSU18740,,,,,
yoaT,BSU18750,,,,,
yoaU,BSU18760,,,,,
yoaV,BSU18770,,,,,
yoaW,BSU18780,,,,,
yoaZ,BSU18790,,,,,
penP,BSU18800,,,,,
yobA,BSU18810,,,,,
yobB,BSU18820,,,,,
pps,BSU18830,,,,,
xynA,BSU18840,,,,,
yozV,BSU18849,,,,,
yobD,BSU18850,,,,,
yozH,BSU18860,,,,,
yozI,BSU18870,,,,,
yobE,BSU18880,,,,,
yobF,BSU18890,,,,,
yozW,BSU18898,,,,,
yozX,BSU18899,,,,,
yozJ,BSU18900,,,,,
yozY,BSU18908,,,,,
rapK,BSU18910,,yobG,,,
phrK,BSU18920,,,,,
yobH,BSU18930,,,,,
yozK,BSU18940,,,,,
yozL,BSU18950,,,,,
yozM,BSU18960,,,,,
yobI,BSU18970,,,,,
yobJ,BSU18980,,,,,
yobK,BSU18990,,,,,
yobL,BSU19000,,,,,
yobM,BSU19010,,,,,
yobN,BSU19020,,,,,
yobO,BSU19030,,,,,
csaA,BSU19040,,,,,
yobQ,BSU19050,,,,,
yobR,BSU19060,,,,,
yobS,BSU19070,,,,,
yobT,BSU19080,,,,,
yobU,BSU19090,,,,,
yobV,BSU19100,,,,,
csk22,BSU19110,,yobW,,,
czrA,BSU19120,,yozA,,,
yocA,BSU19130,,,,,
yozB,BSU19140,,,,,
yocB,BSU19150,,,,,
yocC,BSU19160,,,,,
yocD,BSU19170,,,,,
des,BSU19180,,desA,yocE,,
desK,BSU19190,,yocF,,,
desR,BSU19200,,yocG,,,
yocH,BSU19210,,,,,
recQ,BSU19220,,yocI,,,
azoR1,BSU19230,,yocJ,,,
yocK,BSU19240,,,,,
yocL,BSU19250,,,,,
yoyB,BSU19259,,,,,
yocM,BSU19260,,,,,
yozN,BSU19270,,,,,
yocN,BSU19280,,,,,
yozO,BSU19290,,,,,
yozC,BSU19300,,,,,
dhaS,BSU19310,,,,,
sqhC,BSU19320,,,,,
sodF,BSU19330,,,,,
yocR,BSU19340,,,,,
yocS,BSU19350,,,,,
odhB,BSU19360,,citM,,,
odhA,BSU19370,,citK,,,
yojO,BSU19380,,,,,
yojN,BSU19390,,,,,
yojM,BSU19400,,,,,
cwlS,BSU19410,,yojL,,,
yojK,BSU19420,,,,,
cdaS,BSU19430,,dacB,yojJ,,
norM,BSU19440,,yojI,,,
rsbRC,BSU19450,,yojH,,,
bshB2,BSU19460,,yojG,,,
yojF,BSU19470,,,,,
yoyC,BSU19479,,yojE,,,
yojE,BSU19480,,yojD,,,
gerT,BSU19490,,yozR,,,
yojB,BSU19510,,,,,
yojA,BSU19520,,,,,
yolI,BSU19530,,yodA,,,
yodB,BSU19540,,,,,
yodC,BSU19550,,yolG,,,
mhqD,BSU19560,,yodD,yolF,,
mhqE,BSU19570,,yodE,,,
yoyD,BSU19579,,,,,
yodF,BSU19580,,,,,
ctpA,BSU19590,,orfRM1,,,
yodH,BSU19600,,yolB,,,
yodI,BSU19610,,yolA,,,
yodJ,BSU19620,,yokZ,,,
deoD,BSU19630,,punB,,,
yoyE,BSU19639,,,,,
yodL,BSU19640,,yokX,,,
pgpB,BSU19650,,yodM,,,
yozD,BSU19660,,,,,
yoyF,BSU19669,,,,,
yodN,BSU19670,,yokV,,,
yozE,BSU19680,,,,,
yokU,BSU19689,,,,,
kamA,BSU19690,,,,,
yodP,BSU19700,,yokR,,,
yodQ,BSU19710,,argE,yokP,,
yodR,BSU19720,,yokO,,,
yodS,BSU19730,,yokN,,,
yodT,BSU19740,,yokM,,,
yoyG,BSU19749,,,,,
cgeE,BSU19750,,cgeBC,,,
cgeD,BSU19760,,cgeBB,,,
cgeC,BSU19770,,cgeBA,,,
cgeA,BSU19780,,cgeAA,,,
cgeB,BSU19790,,cgeAB,,,
phy,BSU19800,,yodV,yzxA,,
yotN,BSU19820,,yokJ,,,
yotM,BSU19830,,yodV,yokI,,
yotL,BSU19840,,yokH,,,
yotK,BSU19850,,,,,
yotJ,BSU19860,,yokG,,,
yotI,BSU19870,,yodW,yokF,,
yotH,BSU19880,,,,,
yotG,BSU19890,,,,,
yotF,BSU19900,,,,,
yotE,BSU19910,,,,,
yotD,BSU19920,,yokD,,,
yotC,BSU19930,,yokC,,,
yotB,BSU19940,,yokB,,,
sspC,BSU19950,,,,,
yosX,BSU19970,,yojZ,,,
yosW,BSU19980,,,,,
yosV,BSU19990,,yojX,,,
yojW,BSU19999,,,,,
yosU,BSU20000,,,,,
yosT,BSU20010,,yojV,,,
yosS,BSU20020,,yojU,,,
yosR,BSU20030,,yojT,,,
yosP,BSU20040,,yojQ,yojS,,
yosQ,BSU20050,,yojR,,,
nrdEB,BSU20060,,yojP,yosN,,
nrdIB,BSU20070,,yosM,,,
yosL,BSU20080,,,,,
yosK,BSU20090,,,,,
yosJ,BSU20100,,,,,
yosI,BSU20110,,,,,
yosH,BSU20120,,,,,
yosG,BSU20130,,,,,
yosF,BSU20140,,,,,
yosE,BSU20150,,,,,
yosD,BSU20160,,,,,
yosC,BSU20170,,,,,
yosB,BSU20180,,,,,
yosA,BSU20190,,,,,
yorZ,BSU20200,,,,,
yorY,BSU20210,,,,,
yorX,BSU20220,,,,,
yorW,BSU20230,,,,,
yorV,BSU20240,,,,,
mtbP,BSU20250,,,,,
yorT,BSU20260,,,,,
yorS,BSU20270,,,,,
yorR,BSU20280,,,,,
yorQ,BSU20290,,,,,
yorP,BSU20300,,,,,
yorO,BSU20310,,,,,
yorN,BSU20320,,,,,
yorM,BSU20330,,,,,
yorL,BSU20340,,,,,
yorK,BSU20350,,,,,
yorJ,BSU20360,,,,,
yorI,BSU20370,,,,,
yorH,BSU20380,,,,,
yorG,BSU20390,,,,,
yorF,BSU20400,,,,,
yorE,BSU20410,,,,,
yorD,BSU20420,,,,,
yorC,BSU20430,,,,,
yorB,BSU20440,,,,,
yorA,BSU20450,,,,,
yoqZ,BSU20460,,,,,
yoqY,BSU20470,,,,,
yoqX,BSU20480,,,,,
yoqW,BSU20490,,,,,
ligB,BSU20500,,yoqV,,,
yoqU,BSU20510,,,,,
yoqT,BSU20520,,,,,
yoqS,BSU20530,,,,,
yoqR,BSU20540,,,,,
yoqP,BSU20550,,,,,
yoqO,BSU20560,,,,,
yoqN,BSU20570,,,,,
yoqM,BSU20580,,,,,
yoqL,BSU20590,,,,,
yoqK,BSU20600,,,,,
yoqJ,BSU20610,,,,,
yoqI,BSU20620,,,,,
yoqH,BSU20630,,,,,
yoqG,BSU20640,,,,,
yoqF,BSU20650,,,,,
yoqE,BSU20660,,,,,
yoqD,BSU20670,,,,,
yoqC,BSU20680,,,,,
yoqB,BSU20690,,,,,
yoqA,BSU20700,,,,,
yopZ,BSU20710,,,,,
yopY,BSU20720,,,,,
yopX,BSU20730,,,,,
yopW,BSU20740,,,,,
yopV,BSU20750,,,,,
yopU,BSU20760,,,,,
yopT,BSU20770,,,,,
yopS,BSU20780,,,,,
yopR,BSU20790,,,,,
yopQ,BSU20800,,,,,
yopP,BSU20810,,,,,
yopO,BSU20820,,,,,
yopN,BSU20830,,,,,
yopM,BSU20840,,,,,
yopL,BSU20850,,,,,
yopK,BSU20860,,,,,
yopJ,BSU20870,,,,,
yopI,BSU20880,,,,,
yopH,BSU20890,,,,,
yopG,BSU20900,,,,,
yopF,BSU20910,,,,,
yopE,BSU20920,,,,,
yoyH,BSU20928,,,,,
yoyI,BSU20929,,,,,
yopD,BSU20930,,,,,
yopC,BSU20940,,,,,
yopB,BSU20950,,,,,
yopA,BSU20960,,,,,
yonX,BSU20970,,,,,
yonV,BSU20980,,,,,
yonU,BSU20990,,,,,
yoyJ,BSU20999,,,,,
yonT,BSU21000,,,,,
yonS,BSU21010,,,,,
yonR,BSU21020,,,,,
yonP,BSU21030,,,,,
yonO,BSU21040,,,,,
hup2,BSU21050,,yonN,,,
yonK,BSU21060,,,,,
yonJ,BSU21070,,,,,
yonI,BSU21080,,,,,
yonH,BSU21090,,,,,
yonG,BSU21100,,,,,
yonF,BSU21110,,,,,
yonE,BSU21120,,,,,
yonD,BSU21130,,,,,
yonC,BSU21140,,,,,
yonB,BSU21150,,,,,
yonA,BSU21160,,,,,
yomZ,BSU21170,,,,,
yomY,BSU21180,,,,,
yomX,BSU21190,,,,,
yomW,BSU21200,,,,,
yomV,BSU21210,,,,,
yomU,BSU21220,,,,,
youA,BSU21229,,,,,
yomT,BSU21230,,,,,
yomS,BSU21240,,,,,
yomR,BSU21250,,,,,
yomQ,BSU21260,,,,,
yomP,BSU21270,,,,,
yomO,BSU21280,,,,,
yomN,BSU21290,,,,,
yomM,BSU21300,,,,,
yozP,BSU21310,,,,,
yomL,BSU21320,,,,,
yomK,BSU21330,,,,,
yomJ,BSU21340,,,,,
yomI,BSU21350,,,,,
yomH,BSU21360,,,,,
yomG,BSU21370,,,,,
yomF,BSU21380,,,,,
yomE,BSU21390,,,,,
yomD,BSU21400,,,,,
blyA,BSU21410,,yomC,,,
bhlA,BSU21420,,yomB,,,
bhlB,BSU21430,,yomA,,,
bdbB,BSU21440,,yolK,,,
sunS,BSU21450,,yolJ,,,
bdbA,BSU21460,,yolI,,,
sunT,BSU21470,,yolH,,,
sunA,BSU21480,,yolG,,,
sunI,BSU21490,,yolF,,,
uvrX,BSU21500,,,,,
yolD,BSU21510,,,,,
yolC,BSU21520,,,,,
yolB,BSU21530,,,,,
yolA,BSU21540,,,,,
yokL,BSU21550,,,,,
yokK,BSU21560,,,,,
yokJ,BSU21570,,,,,
yokI,BSU21580,,,,,
yokH,BSU21590,,,,,
yokG,BSU21600,,,,,
yokF,BSU21610,,,,,
yokE,BSU21620,,,,,
yokD,BSU21630,,,,,
yokC,BSU21640,,,,,
yokB,BSU21650,,,,,
yokA,BSU21660,,,,,
msrB,BSU21680,,yppQ,,,
msrA,BSU21690,,yppP,,,
ypoP,BSU21700,,,,,
ypnP,BSU21710,,,,,
ypmT,BSU21720,,,,,
ypmS,BSU21730,,,,,
ypmR,BSU21740,,yzjA,,,
ypmQ,BSU21750,,,,,
ypmP,BSU21760,,,,,
ilvA,BSU21770,,,,,
yplP,BSU21780,,,,,
yplQ,BSU21790,,,,,
ypkP,BSU21800,,,,,
dfrA,BSU21810,,,,,
thyA2,BSU21820,,thyB,,,
ypjQ,BSU21830,,,,,
ypjP,BSU21840,,,,,
ypiP,BSU21850,,,,,
yphP,BSU21860,,,,,
ilvD,BSU21870,,,,,
ypgR,BSU21880,,,,,
ypgQ,BSU21890,,,,,
bsaA,BSU21900,,,,,
metAA,BSU21910,,metA,metB,,
ugtP,BSU21920,,ypfP,,,
cspD,BSU21930,,,,,
degR,BSU21940,,prtR,,,
ypzA,BSU21950,,,,,
ypeQ,BSU21960,,,,,
ypeP,BSU21970,,,,,
ypdP,BSU21980,,,,,
rnhA,BSU21990,,ypdQ,,,
sspL,BSU22000,,,,,
ypcP,BSU22010,,,,,
ypzF,BSU22019,,,,,
ypbS,BSU22020,,,,,
ypbR,BSU22030,,,,,
ypbQ,BSU22040,,,,,
bcsA,BSU22050,,,,,
pbuX,BSU22060,,ypaQ,,,
xpt,BSU22070,,,,,
ypwA,BSU22080,,,,,
kdgT,BSU22090,,,,,
kdgA,BSU22100,,,,,
kdgK,BSU22110,,,,,
kdgR,BSU22120,,,,,
kduI,BSU22130,,,,,
kduD,BSU22140,,,,,
ypvA,BSU22150,,,,,
yptA,BSU22160,,,,,
ypzG,BSU22169,,,,,
ypsC,BSU22170,,,,,
gpsB,BSU22180,,ypsB,,,
ypsA,BSU22190,,,,,
cotD,BSU22200,,,,,
yprB,BSU22210,,,,,
yprA,BSU22220,,,,,
ypqE,BSU22230,,,,,
ypqA,BSU22240,,,,,
yppG,BSU22250,,,,,
yppF,BSU22260,,,,,
yppE,BSU22270,,,,,
yppD,BSU22280,,,,,
sspM,BSU22290,,,,,
yppC,BSU22300,,,,,
recU,BSU22310,,prfA,yppB,,
ponA,BSU22320,,,,,
ypoC,BSU22330,,jooC,,,
nth,BSU22340,,jooB,ypoB,,
dnaD,BSU22350,,,,,
asnS,BSU22360,,,,,
aspB,BSU22370,,,,,
ypmB,BSU22380,,,,,
ypmA,BSU22390,,,,,
dinG,BSU22400,,,,,
panD,BSU22410,,,,,
panC,BSU22420,,,,,
panB,BSU22430,,,,,
birA,BSU22440,,,,,
cca,BSU22450,,papS,ypjI,,
bshA,BSU22460,,jojH,ypjH,,
bshB1,BSU22470,,jojG,ypjG,,
mgsA,BSU22480,,ypjF,,,
dapB,BSU22490,,,,,
ypjD,BSU22500,,jojD,,,
ypjC,BSU22510,,jojC,,,
ypjB,BSU22520,,,,,
ypjA,BSU22530,,,,,
qcrC,BSU22540,,bfcC,,,
qcrB,BSU22550,,bfcB,,,
qcrA,BSU22560,,bfcA,,,
ypiF,BSU22570,,,,,
ypiB,BSU22580,,,,,
ypiA,BSU22590,,,,,
aroA,BSU22600,,aroE,,,
tyrA,BSU22610,,,,,
hisC,BSU22620,,hisH,,,
trpA,BSU22630,,,,,
trpB,BSU22640,,,,,
trpF,BSU22650,,,,,
trpC,BSU22660,,,,,
trpD,BSU22670,,,,,
trpE,BSU22680,,,,,
aroH,BSU22690,,,,,
aroB,BSU22700,,,,,
aroC,BSU22710,,aroF,,,
cheR,BSU22720,,,,,
ndk,BSU22730,,,,,
hepT,BSU22740,,gerC3,gerCC,hepB,
menG,BSU22750,,gerC2,gerCB,menH,
hepS,BSU22760,,gerC1,gerCA,hepA,
mtrB,BSU22770,,,,,
folE,BSU22780,,mtrA,,,
hupA,BSU22790,,dbpA,hbs,hbsU,
spoIVA,BSU22800,,spoVP,,,
yphF,BSU22810,,johF,,,
yphE,BSU22820,,,,,
gpsA,BSU22830,,glyC,,,
der,BSU22840,,engA,yphC,,
ypzH,BSU22849,,,,,
yphB,BSU22850,,,,,
yphA,BSU22860,,,,,
ypzI,BSU22869,,,,,
fni,BSU22870,,idi,ypgA,,
ypfD,BSU22880,,jofD,,,
cmk,BSU22890,,jofC,ypfC,,
ypfB,BSU22900,,jofB,,,
ypfA,BSU22910,,jofA,,,
ypeB,BSU22920,,joeB,yzuA,,
sleB,BSU22930,,ypeA,,,
prsW,BSU22940,,ypdC,,,
ypdA,BSU22950,,,,,
gudB,BSU22960,,ypcA,,,
mecB,BSU22970,,ypbH,,,
ypbG,BSU22980,,,,,
ypbF,BSU22990,,,,,
ypbE,BSU23000,,,,,
ypbD,BSU23010,,,,,
recS,BSU23020,,ypbC,,,
ypbB,BSU23030,,,,,
fer,BSU23040,,ypbA,,,
fmnP,BSU23050,,ribU,ypaA,,
serA,BSU23070,,,,,
aroD,BSU23080,,aroC,,,
rsiX,BSU23090,,ypuN,,,
sigX,BSU23100,,ypuM,,,
resE,BSU23110,,ypxE,,,
resD,BSU23120,,ypxD,,,
resC,BSU23130,,ypxC,,,
resB,BSU23140,,ypxB,,,
resA,BSU23150,,ypxA,,,
rluB,BSU23160,,ypuL,,,
spmB,BSU23170,,ypuK,,,
spmA,BSU23180,,ypuJ,,,
dacB,BSU23190,,,,,
ypuI,BSU23200,,,,,
scpB,BSU23210,,ypuH,,,
scpA,BSU23220,,ypuG,,,
ypuF,BSU23230,,,,,
ribT,BSU23240,,,,,
ribH,BSU23250,,,,,
ribBA,BSU23260,,ribA,,,
ribE,BSU23270,,ribB,,,
ribD,BSU23280,,ribG,,,
ypuE,BSU23290,,,,,
ypuD,BSU23300,,,,,
sipS,BSU23310,,,,,
ypzC,BSU23320,,,,,
ypzJ,BSU23328,,,,,
ypuB,BSU23340,,,,,
ypzD,BSU23350,,,,,
ppiB,BSU23360,,,,,
ypuA,BSU23370,,,,,
lysA,BSU23380,,lys,,,
spoVAF,BSU23390,,,,,
spoVAEA,BSU23401,,spoVAE,,,
spoVAEB,BSU23402,,,,,
spoVAD,BSU23410,,,,,
spoVAC,BSU23420,,,,,
spoVAB,BSU23430,,,,,
spoVAA,BSU23440,,,,,
sigF,BSU23450,,spoIIAC,,,
spoIIAB,BSU23460,,,,,
spoIIAA,BSU23470,,,,,
dacF,BSU23480,,,,,
punA,BSU23490,,deoD,pnp,yqkO,
drm,BSU23500,,yqkN,,,
xerD,BSU23510,,ripX,ykqM,,
yqzK,BSU23519,,,,,
fur,BSU23520,,yqkL,,,
spoIIM,BSU23530,,,,,
yqkK,BSU23540,,,,,
yqkJ,BSU23550,,,,,
mleN,BSU23560,,yqkI,,,
ansB,BSU23570,,,,,
ansA,BSU23580,,,,,
ansR,BSU23590,,,,,
yqxK,BSU23600,,yqkH,,,
nudF,BSU23610,,yqkG,,,
yqkF,BSU23620,,,,,
yqkE,BSU23630,,,,,
yqkD,BSU23640,,,,,
yqkC,BSU23650,,,,,
yqkB,BSU23660,,,,,
yqkA,BSU23670,,,,,
yqjZ,BSU23680,,,,,
yqjY,BSU23690,,,,,
yqjX,BSU23700,,,,,
dinB2,BSU23710,,yqjW,,,
yqzH,BSU23720,,,,,
yqjV,BSU23730,,,,,
yqjU,BSU23740,,,,,
yqjT,BSU23750,,,,,
coaA,BSU23760,,yqjS,,,
dsdA,BSU23770,,yqjR,,,
yqjQ,BSU23780,,,,,
yqjP,BSU23790,,,,,
proI,BSU23800,,yqjO,,,
yqjN,BSU23810,,,,,
namA,BSU23820,,yqjM,,,
yqjL,BSU23830,,,,,
rnz,BSU23840,,yqjK,,,
zwf,BSU23850,,yqjJ,,,
gndA,BSU23860,,yqjI,,,
dinB1,BSU23870,,yqjH,,,
mifM,BSU23880,,yqzJ,,,
misCB,BSU23890,,yqjG,,,
yqjF,BSU23900,,,,,
yqjE,BSU23910,,,,,
yqjD,BSU23920,,,,,
yqjC,BSU23930,,,,,
yqjB,BSU23940,,,,,
yqjA,BSU23950,,,,,
